temp,bpm,red,ir,med,trig,max,min
0.000000,600000000.000000,0,32384,0,0,0,0
0.000000,600000000.000000,0,32352,0,0,0,0
0.000000,600000000.000000,0,32128,0,0,0,0
0.000000,2102.415800,0,31808,32128,1,32128,0
0.000000,2102.415800,0,31488,32128,1,32128,0
0.000000,2102.415800,0,31520,32128,1,32128,0
0.000000,2102.415800,0,31296,32128,1,32128,0
0.000000,2102.415800,0,31168,31808,1,32128,0
0.000000,2102.415800,0,31008,31520,1,32128,0
0.000000,2102.415800,0,31072,31488,1,32128,0
0.000000,2102.415800,0,30880,31296,1,32128,0
0.000000,2102.415800,0,30720,31168,1,32128,0
0.000000,2102.415800,0,30816,31072,1,32128,0
0.000000,2102.415800,0,30560,31008,1,32128,0
0.000000,2102.415800,0,30592,30880,1,32128,0
0.000000,2102.415800,0,30496,30816,1,32128,0
0.000000,2102.415800,0,30464,30720,1,32128,0
0.000000,2102.415800,0,30496,30592,1,32128,0
0.000000,2102.415800,0,30400,30560,1,32128,0
0.000000,2102.415800,0,30368,30496,1,32128,0
0.000000,2102.415800,0,30592,30496,1,32128,0
0.000000,2102.415800,0,30496,30496,1,32128,0
0.000000,2102.415800,0,30464,30496,1,32128,0
0.000000,2102.415800,0,30400,30496,1,32128,0
0.000000,2102.415800,0,30336,30464,1,32128,0
0.000000,2102.415800,0,30368,30464,1,32128,0
0.000000,2102.415800,0,30304,30464,1,32128,0
0.000000,2102.415800,0,30368,30400,1,32128,0
0.000000,2102.415800,0,30272,30368,1,32128,0
0.000000,2102.415800,0,30240,30368,1,32128,0
0.000000,2102.415800,0,30272,30336,1,32128,0
0.000000,2102.415800,0,30208,30304,1,32128,0
0.000000,2102.415800,0,30208,30272,1,32128,0
0.000000,2102.415800,0,30176,30272,1,32128,0
0.000000,2102.415800,0,30176,30240,1,32128,0
0.000000,2102.415800,0,30048,30208,1,32128,0
0.000000,2102.415800,0,29984,30208,1,32128,0
0.000000,2102.415800,0,30048,30176,1,32128,0
0.000000,2102.415800,0,30176,30176,1,32128,0
0.000000,2102.415800,0,30048,30176,1,32128,0
0.000000,2102.415800,0,30080,30048,1,32128,0
0.000000,2102.415800,0,29952,30048,1,32128,0
0.000000,2102.415800,0,29952,30048,1,32128,0
0.000000,2102.415800,0,29952,30048,1,32128,0
0.000000,2102.415800,0,30048,30048,1,32128,0
0.000000,2102.415800,0,29984,30048,1,32128,0
0.000000,2102.415800,0,30016,29984,1,32128,0
0.000000,2102.415800,0,30016,29984,1,32128,0
0.000000,2102.415800,0,30048,30016,1,32128,0
0.000000,2102.415800,0,29952,30016,1,32128,0
0.000000,2102.415800,0,30080,30016,1,32128,0
0.000000,2102.415800,0,30080,30016,1,32128,0
0.000000,2102.415800,0,30048,30048,1,32128,0
0.000000,2102.415800,0,29952,30048,1,32128,0
0.000000,2102.415800,0,29920,30048,1,32128,0
0.000000,2102.415800,0,29952,30048,1,32128,0
0.000000,2102.415800,0,29920,30048,1,32128,0
0.000000,2102.415800,0,29888,29952,1,32128,0
0.000000,2102.415800,0,29856,29952,1,32128,0
0.000000,2102.415800,0,29952,29920,1,32128,0
0.000000,2102.415800,0,29888,29920,1,32128,0
0.000000,2102.415800,0,29856,29920,1,32128,0
0.000000,2102.415800,0,29952,29888,1,32128,0
0.000000,2102.415800,0,29888,29888,1,32128,0
0.000000,2102.415800,0,29856,29888,1,32128,0
0.000000,2102.415800,0,29888,29888,1,32128,0
0.000000,2102.415800,0,29856,29888,1,32128,0
0.000000,2102.415800,0,29760,29888,1,32128,0
0.000000,2102.415800,0,29920,29888,1,32128,0
0.000000,2102.415800,0,29792,29888,1,32128,0
0.000000,2102.415800,0,29952,29856,1,32128,0
0.000000,2102.415800,0,29792,29888,1,32128,0
0.000000,2102.415800,0,29824,29856,1,32128,0
0.000000,2102.415800,0,29952,29824,1,32128,0
0.000000,2102.415800,0,29792,29920,1,32128,0
0.000000,2102.415800,0,29728,29824,1,32128,0
0.000000,2102.415800,0,29824,29824,1,32128,0
0.000000,2102.415800,0,29824,29824,1,32128,0
0.000000,2102.415800,0,29696,29824,1,32128,0
0.000000,2102.415800,0,29600,29824,1,32128,0
0.000000,2102.415800,0,29664,29792,1,32128,0
0.000000,2102.415800,0,29792,29728,1,32128,0
0.000000,2102.415800,0,29600,29792,1,32128,0
0.000000,2102.415800,0,29824,29696,1,32128,0
0.000000,2102.415800,0,29600,29696,1,32128,0
0.000000,2102.415800,0,29728,29664,1,32128,0
0.000000,2102.415800,0,29696,29728,1,32128,0
0.000000,2102.415800,0,29728,29728,1,32128,0
